Film,Genre,Rotten Tomatoes %,Year
Zack and Miri Make a Porno,Romance,64,2008
Youth in Revolt,Comedy,68,2010
You Will Meet a Tall Dark Stranger,Comedy,43,2010
When in Rome,Comedy,15,2010
What Happens in Vegas,Comedy,28,2008
Water For Elephants,Drama,60,2011
WALL-E,Animation,96,2008
Waitress,Romance,89,2007
Waiting For Forever,Romance,6,2011
Valentine's Day,Comedy,17,2010
Tyler Perry's Why Did I get Married,Romance,46,2007
Twilight: Breaking Dawn,Romance,26,2011
Twilight,Romance,49,2008
The Ugly Truth,Comedy,14,2009
The Twilight Saga: New Moon,Drama,27,2009
The Time Traveler's Wife,Drama,38,2009
The Proposal,Comedy,43,2009
The Invention of Lying,Comedy,56,2009
The Heartbreak Kid,Comedy,30,2007
The Duchess,Drama,60,2008
The Curious Case of Benjamin Button,Fantasy,73,2008
The Back-up Plan,Comedy,20,2010
Tangled,Animation,89,2010
Something Borrowed,Romance,15,2011
She's Out of My League,Comedy,57,2010
Sex and the City Two,Comedy,15,2010
Sex and the City 2,Comedy,15,2010
Sex and the City,Comedy,49,2008
Remember Me,Drama,28,2010
Rachel Getting Married,Drama,85,2008
Penelope,Comedy,52,2008
P.S. I Love You,Romance,21,2007
Over Her Dead Body,Comedy,15,2008
Our Family Wedding,Comedy,14,2010
One Day,Romance,37,2011
Not Easily Broken,Drama,34,2009
No Reservations,Comedy,39,2007
Nick and Norah's Infinite Playlist,Comedy,73,2008
New Year's Eve,Romance,8,2011
My Week with Marilyn,Drama,83,2011
Music and Lyrics,Romance,63,2007
Monte Carlo,Romance,38,2011
Miss Pettigrew Lives for a Day,Comedy,78,2008
Midnight in Paris,Romance,93,2011
Marley and Me,Comedy,63,2008
Mamma Mia!,Comedy,53,2008
Mamma Mia!,Comedy,53,2008
Made of Honor,Comedy,13,2008
Love Happens,Drama,18,2009
Love & Other Drugs,Comedy,48,2010
Life as We Know It,Comedy,28,2010
License to Wed,Comedy,8,2007
Letters to Juliet,Comedy,40,2010
Leap Year,Comedy,21,2010
Knocked Up,Comedy,91,2007
Killers,Action,11,2010
Just Wright,Comedy,45,2010
Jane Eyre,Romance,85,2011
It's Complicated,Comedy,56,2009
I Love You Phillip Morris,Comedy,71,2010
High School Musical 3: Senior Year,Comedy,65,2008
He's Just Not That Into You,Comedy,42,2009
Good Luck Chuck,Comedy,3,2007
Going the Distance,Comedy,53,2010
Gnomeo and Juliet,Animation,56,2011
Gnomeo and Juliet,Animation,56,2011
Ghosts of Girlfriends Past,Comedy,27,2009
Four Christmases,Comedy,26,2008
Fireproof,Drama,40,2008
Enchanted,Comedy,93,2007
Dear John,Drama,29,2010
Beginners,Comedy,84,2011
Across the Universe,romance,54,2007
A Serious Man,Drama,89,2009
A Dangerous Method,Drama,79,2011
27 Dresses,Comedy,40,2008
(500) Days of Summer,comedy,87,2009
